index,name,artist,release_date,length,popularity,danceability,acousticness,energy,tempo,valence
933,Blue Suede Shoes,Elvis Presley,1956,1.986666667,61,0.557,0.654,0.66,95.252,0.962
2260,Blue Moon - Take 9/M,Elvis Presley,1956,2.70355,54,0.419,0.952,0.1,129.803,0.256
2431,Rip It Up,Elvis Presley,1956,1.878433333,44,0.672,0.673,0.775,102.119,0.883
2458,Long Tall Sally,Elvis Presley,1956,1.878883333,35,0.391,0.738,0.752,186.574,0.956
2535,Ready Teddy,Elvis Presley,1956,1.9231,36,0.607,0.53,0.808,102.82,0.961
350,Tutti Frutti,Little Richard,1957,2.403766667,64,0.555,0.793,0.658,184.835,0.937
525,Long Tall Sally (The Thing),Little Richard,1957,2.123766667,62,0.474,0.755,0.608,184.694,0.888
527,Folsom Prison Blues,Johnny Cash,1957,2.809233333,56,0.754,0.691,0.54,101.738,0.79
814,Blue Suede Shoes,Carl Perkins,1957,2.24075,55,0.548,0.448,0.675,168.891,0.965
886,I've Got a Woman,Ray Charles,1957,2.857766667,67,0.556,0.833,0.61,199.373,0.665
984,Brown Eyed Handsome Man,Chuck Berry,1957,2.2851,39,0.515,0.919,0.902,180.07,0.873
1059,Rip It Up,Little Richard,1957,2.356666667,52,0.895,0.672,0.636,95.922,0.967
1150,Matchbox,Carl Perkins,1957,2.130783333,40,0.524,0.48,0.892,170.152,0.923
2300,(There'll Be) Peace In the Valley (For Me),Elvis Presley,1957,3.36955,53,0.306,0.949,0.0334,65.148,0.241
2408,Ready Teddy,Little Richard,1957,2.111333333,42,0.532,0.673,0.678,205.973,0.971
2421,Honey Don't,Carl Perkins,1957,2.823666667,39,0.716,0.555,0.718,87.493,0.927
2514,Too Much Monkey Business,Chuck Berry,1957,2.902216667,37,0.678,0.813,0.83,93.275,0.853
4168,Sittin' In The Balcony,Eddie Cochran,1957,2.000433333,27,0.527,0.869,0.464,144.354,0.887
5223,Slippin’ And Slidin’ (Peepin’ And Hidin’),Little Richard,1957,2.696433333,42,0.583,0.707,0.778,175.834,0.964
355,Jailhouse Rock,Elvis Presley,1958,2.441333333,72,0.647,0.41,0.582,167.396,0.915
490,Hound Dog,Elvis Presley,1958,2.2671,69,0.357,0.733,0.756,174.797,0.95
569,Rave On,Buddy Holly,1958,1.832666667,57,0.566,0.611,0.711,159.629,0.961
604,Don't Be Cruel,Elvis Presley,1958,2.048216667,61,0.697,0.856,0.55,84.802,0.844
714,Rock And Roll Music,Chuck Berry,1958,2.52955,50,0.529,0.418,0.768,165.225,0.871
733,Bo Diddley,Bo Diddley,1958,2.48355,51,0.809,0.176,0.701,105.696,0.563
749,Heartbreak Hotel,Elvis Presley,1958,2.126,61,0.696,0.84,0.21,93.543,0.717
890,Who Do You Love,Bo Diddley,1958,2.456216667,44,0.64,0.862,0.729,113.19,0.683
979,Reet Petite,Jackie Wilson,1958,2.820666667,59,0.664,0.447,0.66,84.345,0.873
1160,Splish Splash,Bobby Darin,1958,2.195316667,60,0.645,0.385,0.943,147.768,0.965
1178,Chantilly Lace,The Big Bopper,1958,2.4211,56,0.489,0.841,0.806,172.269,0.944
2343,"I Want You, I Need You, I Love You",Elvis Presley,1958,2.665333333,52,0.441,0.875,0.33,78.744,0.726
222,Johnny B. Goode,Chuck Berry,1959,2.692666667,75,0.534,0.741,0.803,167.983,0.969
518,Maybellene,Chuck Berry,1959,2.387333333,56,0.756,0.735,0.768,118.208,0.783
622,"What'd I Say, Pt. 1 & 2",Ray Charles,1959,5.11755,62,0.54,0.808,0.681,88.385,0.794
738,Mystery Train,Elvis Presley,1959,2.415766667,52,0.699,0.587,0.514,120.758,0.63
796,Roll Over Beethoven,Chuck Berry,1959,2.41,0,0.707,0.83,0.78,92.653,0.808
819,That's All Right,Elvis Presley,1959,1.921333333,49,0.655,0.808,0.405,105.272,0.696
836,Ain't That A Shame,Fats Domino,1959,2.536666667,58,0.486,0.767,0.501,122.894,0.942
1259,Carol,Chuck Berry,1959,2.81,42,0.637,0.869,0.852,157.291,0.789
1885,Blue Moon of Kentucky,Elvis Presley,1959,2.044666667,38,0.65,0.925,0.602,112.724,0.914
2068,I'm Walkin',Fats Domino,1959,2.1111,50,0.65,0.611,0.89,114.513,0.972
2185,Almost Grown,Chuck Berry,1959,2.366,41,0.528,0.786,0.645,151.403,0.756
2190,Blue Monday,Fats Domino,1959,2.394433333,45,0.388,0.592,0.832,151.298,0.91
2202,"I'm Left, You're Right, She's Gone",Elvis Presley,1959,2.588433333,30,0.596,0.363,0.606,91.235,0.937
2272,I Got Stung,Elvis Presley,1959,1.82355,37,0.731,0.901,0.832,96.557,0.974
2377,Dizzy Miss Lizzy,Larry Williams,1959,2.20555,31,0.595,0.591,0.798,138.019,0.968
2436,Donna - Single Version,Ritchie Valens,1959,2.516216667,56,0.472,0.864,0.225,100.299,0.29
2491,"See You Later, Alligator",Bill Haley & His Comets,1959,2.780666667,52,0.663,0.272,0.758,157.198,0.814
2498,I Forgot to Remember to Forget,Elvis Presley,1959,2.472,30,0.679,0.401,0.471,112.946,0.674
2505,Around And Around,Chuck Berry,1959,2.706666667,37,0.729,0.578,0.381,88.02,0.929
2600,Good Rockin' Tonight,Elvis Presley,1959,2.192883333,37,0.518,0.52,0.519,172.245,0.921
2606,"Come On, Let's Go",Ritchie Valens,1959,2.076433333,56,0.616,0.788,0.724,81.402,0.809
2656,It's Late,Ricky Nelson,1959,1.994433333,37,0.6,0.79,0.795,82.868,0.898
2691,Short Fat Fannie,Larry Williams,1959,2.442666667,29,0.658,0.587,0.616,145.557,0.976
4242,It's Only Make Believe,Conway Twitty,1959,2.200433333,53,0.461,0.86,0.466,128.537,0.251
764,Summertime Blues,Eddie Cochran,1960,1.989333333,63,0.714,0.116,0.886,156.351,0.954
960,C’Mon Everybody,Eddie Cochran,1960,1.970433333,57,0.627,0.121,0.7,175.33,0.856
1369,At Last,Etta James,1960,2.994883333,75,0.274,0.547,0.348,87.43,0.328
2674,Sweet Nothin's,Brenda Lee,1960,2.41,49,0.778,0.642,0.413,125.235,0.961
3103,"Walk, Don't Run - Stereo",The Ventures,1960,2.048883333,50,0.488,0.852,0.648,156.35,0.949
3297,I'm Sorry,Brenda Lee,1960,2.692433333,57,0.558,0.868,0.223,101.711,0.303
645,Will You Love Me Tomorrow,The Shirelles,1961,2.678216667,62,0.55,0.312,0.382,136.128,0.464
684,Only the Lonely,Roy Orbison,1961,2.42555,62,0.57,0.377,0.529,123.273,0.934
750,Crazy - Single Version,Patsy Cline,1961,2.742883333,66,0.471,0.931,0.021,107.765,0.356
755,Runaway,Del Shannon,1961,2.288433333,61,0.594,0.153,0.533,78.552,0.729
2099,Let's Twist Again,Chubby Checker,1961,2.289333333,65,0.604,0.0987,0.709,167.832,0.907
439,Green Onions,Booker T. & the M.G.'s,1962,2.938883333,68,0.816,0.767,0.514,136.837,0.912
459,Stand by Me,Ben E. King,1962,3.000916667,78,0.65,0.57,0.306,118.068,0.605
503,Crying,Roy Orbison,1962,2.774433333,61,0.35,0.758,0.293,96.685,0.162
636,"Oh, Pretty Woman",Roy Orbison,1962,2.982216667,74,0.619,0.715,0.603,127.432,0.958
1248,Back In The U.S.A.,Chuck Berry,1962,2.448216667,39,0.592,0.768,0.823,170.011,0.962
1378,Twist And Shout,The Isley Brothers,1962,2.59,57,0.774,0.65,0.811,123.351,0.963
1600,Crazy,Willie Nelson,1962,2.88335,46,0.509,0.849,0.194,99.488,0.296
2100,It's Over,Roy Orbison,1962,3.027766667,50,0.462,0.74,0.319,89.672,0.489
2179,Thirty Days - Single Version,Chuck Berry,1962,2.376433333,36,0.672,0.596,0.908,116.491,0.839
2457,Return to Sender - From "Girls! Girls! Girls!",Elvis Presley,1962,2.11155,60,0.845,0.628,0.563,130.335,0.969
3010,Sherry,Frankie Valli & The Four Seasons,1962,2.536,60,0.701,0.647,0.471,117.564,0.69
3169,Twistin' the Night Away,Sam Cooke,1962,2.664216667,64,0.458,0.691,0.801,160.547,0.93
4907,Love Hurts,Roy Orbison,1962,2.44555,44,0.496,0.752,0.263,84.463,0.375
4987,Come On - Stereo Version,Chuck Berry,1962,1.783766667,34,0.652,0.521,0.778,151.658,0.97
510,Twist And Shout - Remastered 2009,The Beatles,1963,2.5871,74,0.482,0.641,0.849,124.631,0.937
512,Blowin' in the Wind,Bob Dylan,1963,2.7571,70,0.38,0.914,0.0993,174.874,0.44
789,Please Please Me - Remastered 2009,The Beatles,1963,2.014216667,61,0.527,0.334,0.48,139.388,0.706
808,I Saw Her Standing There - Remastered 2009,The Beatles,1963,2.8991,68,0.491,0.27,0.801,160.109,0.971
980,Ring of Fire,Johnny Cash,1963,2.640433333,71,0.659,0.623,0.585,104.111,0.784
989,The Loco-Motion - Single Version,Various Artists,1963,2.4771,47,0.636,0.674,0.893,129.664,0.887
